Процессор Intel Core i3-7100 3.9GHz/8GT/s/3MB (BX80677I37100) s1151 BOX
Материнская плата Asus Strix Z270G Gaming (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus TUF Z270 Mark 2 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Strix B250F Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus H110T (s1151, Intel H110)
Материнская плата Asus Prime B250-Pro (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Prime B350M-A (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus Prime B250M-Plus (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus TUF Z270 Mark 1 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Prime B250M-C (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Strix B250I Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Prime B350M-K (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus Prime B350-Plus (sAM4, AMD B350, PCI-Ex16)
Материнская плата Asus Strix B250G Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus Strix B250H Gaming (s1151, Intel B250, PCI-Ex16)
Материнская плата Asus H110M-A/M.2 (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus H110-Plus (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus N3050I-C (Intel Celeron N3050, SoC, PCI-Ex4)
Материнская плата Asus Prime Z370-P (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Prime X370-A (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus A68HM-PLUS (sFM2/FM2+, AMD A68H, PCI-Ex16)
Материнская плата Asus H110M-D (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus Prime X299-Deluxe (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus ROG Strix X370-F Gaming (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus TUF Z370-Pro Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Crosshair VI Extreme (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus H110S1 (s1151, Intel H110)
Материнская плата Asus H110S2 (s1151, Intel H110)
Материнская плата Asus Prime X299-A (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus Prime X399-A (sTR4, AMD X399, PCI-Ex16)
Материнская плата Asus ROG Rampage VI Apex (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus ROG Strix X399-E Gaming (sTR4, AMD X399, PCI-Ex16)
Материнская плата Asus ROG Strix Z370-I Gaming (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus TUF X299 Mark 2 (s2066, Intel X299, PCI-Ex16)
Материнская плата Asus Prime X370-Pro (sAM4, AMD X370, PCI-Ex16)
Материнская плата Asus Strix H270F Gaming (s1151, Intel H270, PCI-Ex16)
Материнская плата Asus Strix Z270H Gaming (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock H110 Pro BTC+ (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus H110I-PLUS (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-970A-DS3P FX (sAM3+, AMD 990FX / AMD SB950, PCI-Ex16)
Материнская плата Asus M5A78L-M LE/USB3 (sAM3+, AMD 760G, PCI-Ex16)
Материнская плата MSI Z270-A Pro (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock H110M-DGS R3.0 (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-B250M-D2V (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI Z270 Tomahawk Arctic (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI B350M PRO-VD Plus (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI A68HM-P33 V2 (sFM2+, AMD A68H, PCI-Ex16)
Материнская плата MSI B250m Mortar (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI H110M PRO-VDP (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus P10S-M WS (s1151,Intel С236, PCI-Ex16)
Материнская плата MSI B350 Tomahawk (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI A320M Pro-VD/S (sAM4, AMD A320, PCI-Ex16)
Материнская плата ASRock B250 Pro4 (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI H110M PRO-D (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-H (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-H270-HD3 (s1151, Intel H270, PCI-Ex16)
Материнская плата Gigabyte Z370 HD3 (s1151, Intel Z370, PCI-Ex16)
Материнская плата MSI B350 Gaming Plus (sAM4, AMD B350, PCI-Ex16)
Материнская плата Gigabyte GA-Z270XP-SLI (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Rog Maximus X Hero (s1151, Intel Z370, PCI-Ex16)
Материнская плата Asus Rog Strix X299-E Gaming (s2066, Intel X299, PCI-Ex16)
Материнская плата MSI X299 Tomahawk (s2066, Intel X299, PCI-Ex16)
Материнская плата Gigabyte Z370 HD3P (s1151, Intel Z370, PCI-Ex16)
Материнская плата Gigabyte GA-AB350M-D3H (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI A320M Bazooka (sAM4, AMD A320, PCI-Ex16)
Материнская плата ASRock Z270M Pro4 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Asus Prime J3355I-C (Intel Celeron J3355, SoC, PCI-Ex16)
Материнская плата Asus H110M-R/C/SI White Box (s1151, Intel H110, PCI-Ex16)
Материнская плата ASRock D1800B-ITX (Intel Dual-Core J1800, SoC, PCI-Ex1)
Материнская плата MSI X99A SLI (s2011-3, Intel X99, PCI-Ex16)
Материнская плата Gigabyte GA-H110-D3A (s1151, Intel H110, PCI-Ex16)
Материнская плата ASRock N68C-GS4 FX (sAM3/sAM3+, GeForce 7025, PCI-Ex16)
Материнская плата Gigabyte GA-A320M-DS2 (sAM4, AMD A320, PCI-Ex16)
Материнская плата MSI Z270 Camo Squad (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-J1800N-D2H (Intel Celeron J1800, SoC, mini-PCI E)
Материнская плата Gigabyte GA-H270M-D3H (s1151, Intel H270, PCI-Ex16)
Материнская плата MSI Z270m Mortar (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-Z270X-UD3 (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI Z270 Gaming M3 (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI B350 Krait Gaming (sAM4, AMD B350, PCI-Ex16)
Материнская плата Gigabyte GA-X99-Designare EX (s2011-3, Intel X99, PCI-Ex16)
Материнская плата MSI H270m Mortar Arctic (s1151, Intel H270, PCI-Ex16)
Материнская плата Asus H170 Pro Gaming (s1151, Intel H170, PCI-Ex16)
Материнская плата MSI B150M Mortar Arctic (s1151, Intel B150, PCI-Ex16)
Материнская плата MSI A320M Pro-VD Plus (sAM4, AMD A320, PCI-Ex16)
Материнская плата Gigabyte GA-H110-D3 (s1151, Intel H110, PCI-Ex16)
Материнская плата Gigabyte GA-H110M-DS2 (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI H110M PRO-VH PLUS (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI B350 Tomahawk Arctic (sAM4, AMD B350, PCI-Ex16)
Материнская плата ASRock H270 Pro4 (s1151, Intel H270, PCI-Ex16)
Материнская плата MSI A320M Grenade (sAM4, AMD A320, PCI-Ex16)
Материнская плата Gigabyte GA-B250M-DS3H (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI H110M PRO-VD PLUS (s1151, Intel H110, PCI-Ex16)
Материнская плата Asus X99-M WS/SE (s2011-3, Intel X99, PCI-Ex16)
Материнская плата ASRock Z270M Extreme4 (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock D1800M (Intel Dual-Core J1800, SoC, PCI-Ex16)
Материнская плата ASRock G41C-GS R2.0 (s775, Intel G41 + Intel ICH7, PCI-Ex16)
Материнская плата MSI H270 Gaming Pro Carbon (s1151, Intel H270, PCI-Ex16)
Материнская плата Gigabyte GA-AB350-Gaming 3 (sAM4, AMD B350, PCI-Ex16)
Материнская плата ASRock A320M-DGS (sAM4, AMD A320, PCI-Ex16)
Материнская плата MSI B350M Pro-VDH (sAM4, AMD B350, PCI-Ex16)
Материнская плата Gigabyte GA-Z270-HD3 (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock H110M-DVP (s1151, Intel H110, PCI-Ex16)
Материнская плата MSI H110M PRO-VH (s1151, Intel H110, PCI-Ex16)
